Image type,Feature Class,Feature Name,Segmentation_segment_IPH_lipid,Segmentation_segment_Calcium,Segmentation_segment_Fibrous,Segmentation_segment_IPH
diagnostics,Versions,PyRadiomics,v3.0.1.post15+g2791e23,v3.0.1.post15+g2791e23,v3.0.1.post15+g2791e23,v3.0.1.post15+g2791e23
diagnostics,Versions,Numpy,1.22.1,1.22.1,1.22.1,1.22.1
diagnostics,Versions,SimpleITK,2.2.0rc2.post15,2.2.0rc2.post15,2.2.0rc2.post15,2.2.0rc2.post15
diagnostics,Versions,PyWavelet,1.4.1,1.4.1,1.4.1,1.4.1
diagnostics,Versions,Python,3.9.10,3.9.10,3.9.10,3.9.10
diagnostics,Configuration,Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}"
diagnostics,Configuration,EnabledImageTypes,"{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}","{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}","{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}","{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}"
diagnostics,Image-original,Hash,1f3cc2b89eafe64327d1b0892af1fccc52d279b2,1f3cc2b89eafe64327d1b0892af1fccc52d279b2,1f3cc2b89eafe64327d1b0892af1fccc52d279b2,1f3cc2b89eafe64327d1b0892af1fccc52d279b2
diagnostics,Image-original,Dimensionality,3D,3D,3D,3D
diagnostics,Image-original,Spacing,"(0.473, 0.473, 2.0)","(0.473, 0.473, 2.0)","(0.473, 0.473, 2.0)","(0.473, 0.473, 2.0)"
diagnostics,Image-original,Size,"(512, 512, 181)","(512, 512, 181)","(512, 512, 181)","(512, 512, 181)"
diagnostics,Image-original,Mean,-814.7381733,-814.7381733,-814.7381733,-814.7381733
diagnostics,Image-original,Minimum,-2048,-2048,-2048,-2048
diagnostics,Image-original,Maximum,6038,6038,6038,6038
diagnostics,Mask-original,Hash,e34d4b071d6a0c83138bbdbd30763786fe90e165,9c76649b41e78df15c18b12b2f399cddc88f0a2c,834a327a312bad701187fcd70a00a016650c1b48,d201a963ada7746eac6abcaac18fbf9a5acc661e
diagnostics,Mask-original,Spacing,"(0.473, 0.473, 2.0)","(0.473, 0.473, 2.0)","(0.473, 0.473, 2.0)","(0.473, 0.473, 2.0)"
diagnostics,Mask-original,Size,"(512, 512, 181)","(512, 512, 181)","(512, 512, 181)","(512, 512, 181)"
diagnostics,Mask-original,BoundingBox,"(296, 217, 62, 27, 26, 22)","(305, 224, 77, 18, 17, 4)","(296, 218, 62, 27, 24, 22)","(307, 232, 75, 13, 8, 9)"
diagnostics,Mask-original,VoxelNum,814,203,809,34
diagnostics,Mask-original,VolumeNum,19,2,5,5
