Image type,Feature Class,Feature Name,Segmentation_segment_IPH,Segmentation_segment_IPH_lipid,Segmentation_segment_Calcium,Segmentation_segment_Fibrous
diagnostics,Versions,PyRadiomics,v3.0.1.post15+g2791e23,v3.0.1.post15+g2791e23,v3.0.1.post15+g2791e23,v3.0.1.post15+g2791e23
diagnostics,Versions,Numpy,1.22.1,1.22.1,1.22.1,1.22.1
diagnostics,Versions,SimpleITK,2.2.0rc2.post15,2.2.0rc2.post15,2.2.0rc2.post15,2.2.0rc2.post15
diagnostics,Versions,PyWavelet,1.4.1,1.4.1,1.4.1,1.4.1
diagnostics,Versions,Python,3.9.10,3.9.10,3.9.10,3.9.10
diagnostics,Configuration,Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}"
diagnostics,Configuration,EnabledImageTypes,"{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}","{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}","{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}","{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}"
diagnostics,Image-original,Hash,588d74b25adb7f265b51048ec62ae52bfc747d12,588d74b25adb7f265b51048ec62ae52bfc747d12,588d74b25adb7f265b51048ec62ae52bfc747d12,588d74b25adb7f265b51048ec62ae52bfc747d12
diagnostics,Image-original,Dimensionality,3D,3D,3D,3D
diagnostics,Image-original,Spacing,"(0.507, 0.507, 2.0)","(0.507, 0.507, 2.0)","(0.507, 0.507, 2.0)","(0.507, 0.507, 2.0)"
diagnostics,Image-original,Size,"(512, 512, 167)","(512, 512, 167)","(512, 512, 167)","(512, 512, 167)"
diagnostics,Image-original,Mean,-844.0622276,-844.0622276,-844.0622276,-844.0622276
diagnostics,Image-original,Minimum,-2048,-2048,-2048,-2048
diagnostics,Image-original,Maximum,6611,6611,6611,6611
diagnostics,Mask-original,Hash,2f46135b1b3acb7317eb4390859b0beebb52d2e6,40b33f0bfc714d9117083eb787a9c891052b5fa5,b650dc8ba3a8457c657e56ef59379f5993a0d283,9dc94410451777cb6ac5dee183b3070c4ebcce6f
diagnostics,Mask-original,Spacing,"(0.507, 0.507, 2.0)","(0.507, 0.507, 2.0)","(0.507, 0.507, 2.0)","(0.507, 0.507, 2.0)"
diagnostics,Mask-original,Size,"(512, 512, 167)","(512, 512, 167)","(512, 512, 167)","(512, 512, 167)"
diagnostics,Mask-original,BoundingBox,"(326, 212, 68, 20, 29, 23)","(323, 207, 60, 28, 39, 31)","(328, 224, 69, 10, 15, 6)","(323, 209, 60, 25, 33, 19)"
diagnostics,Mask-original,VoxelNum,105,3154,69,1582
diagnostics,Mask-original,VolumeNum,31,15,2,17
