Image type,Feature Class,Feature Name,Segmentation_segment_Calcium,Segmentation_segment_IPH_lipid,Segmentation_segment_Fibrous,Segmentation_segment_IPH
diagnostics,Versions,PyRadiomics,v3.0.1.post15+g2791e23,v3.0.1.post15+g2791e23,v3.0.1.post15+g2791e23,v3.0.1.post15+g2791e23
diagnostics,Versions,Numpy,1.22.1,1.22.1,1.22.1,1.22.1
diagnostics,Versions,SimpleITK,2.2.0rc2.post15,2.2.0rc2.post15,2.2.0rc2.post15,2.2.0rc2.post15
diagnostics,Versions,PyWavelet,1.4.1,1.4.1,1.4.1,1.4.1
diagnostics,Versions,Python,3.9.10,3.9.10,3.9.10,3.9.10
diagnostics,Configuration,Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}"
diagnostics,Configuration,EnabledImageTypes,"{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}","{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}","{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}","{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}"
diagnostics,Image-original,Hash,588d74b25adb7f265b51048ec62ae52bfc747d12,588d74b25adb7f265b51048ec62ae52bfc747d12,588d74b25adb7f265b51048ec62ae52bfc747d12,588d74b25adb7f265b51048ec62ae52bfc747d12
diagnostics,Image-original,Dimensionality,3D,3D,3D,3D
diagnostics,Image-original,Spacing,"(0.507, 0.507, 2.0)","(0.507, 0.507, 2.0)","(0.507, 0.507, 2.0)","(0.507, 0.507, 2.0)"
diagnostics,Image-original,Size,"(512, 512, 167)","(512, 512, 167)","(512, 512, 167)","(512, 512, 167)"
diagnostics,Image-original,Mean,-844.0622276,-844.0622276,-844.0622276,-844.0622276
diagnostics,Image-original,Minimum,-2048,-2048,-2048,-2048
diagnostics,Image-original,Maximum,6611,6611,6611,6611
diagnostics,Mask-original,Hash,f552126c8e7ff51cfd91b7239da7581034a0ea85,a1d3a243d131fe94c19a9c469adf8241660c7cc2,0a47a98a898213e5b0f99be5517063654e7b91d7,7857d421b65ca52cbb4acc5bea7db045e590e972
diagnostics,Mask-original,Spacing,"(0.507, 0.507, 2.0)","(0.507, 0.507, 2.0)","(0.507, 0.507, 2.0)","(0.507, 0.507, 2.0)"
diagnostics,Mask-original,Size,"(512, 512, 167)","(512, 512, 167)","(512, 512, 167)","(512, 512, 167)"
diagnostics,Mask-original,BoundingBox,"(310, 227, 36, 28, 41, 39)","(309, 234, 34, 29, 38, 39)","(309, 236, 33, 28, 41, 40)","(312, 241, 35, 18, 29, 36)"
diagnostics,Mask-original,VoxelNum,1834,548,1158,98
diagnostics,Mask-original,VolumeNum,10,20,8,9
