"Image type","Feature Class","Feature Name","Segmentation_segment_IPH_lipid","Segmentation_segment_Fibrous","Segmentation_segment_Calcium","Segmentation_segment_IPH"
"diagnostics","Versions","PyRadiomics","v3.0.1.post15+g2791e23","v3.0.1.post15+g2791e23","v3.0.1.post15+g2791e23","v3.0.1.post15+g2791e23"
"diagnostics","Versions","Numpy","1.22.1","1.22.1","1.22.1","1.22.1"
"diagnostics","Versions","SimpleITK","2.2.0rc2.post15","2.2.0rc2.post15","2.2.0rc2.post15","2.2.0rc2.post15"
"diagnostics","Versions","PyWavelet","1.4.1","1.4.1","1.4.1","1.4.1"
"diagnostics","Versions","Python","3.9.10","3.9.10","3.9.10","3.9.10"
"diagnostics","Configuration","Settings","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}"
"diagnostics","Configuration","EnabledImageTypes","{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}","{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}","{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}","{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}"
"diagnostics","Image-original","Hash","450624435ec8fc5d739e429f33a571798bf2f2fc","450624435ec8fc5d739e429f33a571798bf2f2fc","450624435ec8fc5d739e429f33a571798bf2f2fc","450624435ec8fc5d739e429f33a571798bf2f2fc"
"diagnostics","Image-original","Dimensionality","3D","3D","3D","3D"
"diagnostics","Image-original","Spacing","(0.4296875, 0.4296875, 2.0)","(0.4296875, 0.4296875, 2.0)","(0.4296875, 0.4296875, 2.0)","(0.4296875, 0.4296875, 2.0)"
"diagnostics","Image-original","Size","(512, 512, 180)","(512, 512, 180)","(512, 512, 180)","(512, 512, 180)"
"diagnostics","Image-original","Mean","-395.97507517072887","-395.97507517072887","-395.97507517072887","-395.97507517072887"
"diagnostics","Image-original","Minimum","-1024.0","-1024.0","-1024.0","-1024.0"
"diagnostics","Image-original","Maximum","3070.0","3070.0","3070.0","3070.0"
"diagnostics","Mask-original","Hash","6c88ae9a6b88faee75f3f38e05d607b045c1296e","8e803bd8cedee9998df783f890a2798c6aa34088","530687cd26ee70e799da602a906852c06b605286","e4313846b4bc8734e441fe57e9b10748c35b66c9"
"diagnostics","Mask-original","Spacing","(0.4296875, 0.4296875, 2.0)","(0.4296875, 0.4296875, 2.0)","(0.4296875, 0.4296875, 2.0)","(0.4296875, 0.4296875, 2.0)"
"diagnostics","Mask-original","Size","(512, 512, 180)","(512, 512, 180)","(512, 512, 180)","(512, 512, 180)"
"diagnostics","Mask-original","BoundingBox","(194, 195, 86, 27, 26, 28)","(189, 193, 85, 32, 38, 29)","(192, 198, 85, 17, 35, 10)","(203, 204, 95, 8, 6, 3)"
"diagnostics","Mask-original","VoxelNum","372","598","627","19"
