"Image type","Feature Class","Feature Name","Segmentation_segment_IPH","Segmentation_segment_IPH_lipid","Segmentation_segment_Calcium","Segmentation_segment_Fibrous"
"diagnostics","Versions","PyRadiomics","v3.0.1.post15+g2791e23","v3.0.1.post15+g2791e23","v3.0.1.post15+g2791e23","v3.0.1.post15+g2791e23"
"diagnostics","Versions","Numpy","1.22.1","1.22.1","1.22.1","1.22.1"
"diagnostics","Versions","SimpleITK","2.2.0rc2.post15","2.2.0rc2.post15","2.2.0rc2.post15","2.2.0rc2.post15"
"diagnostics","Versions","PyWavelet","1.3.0","1.3.0","1.3.0","1.3.0"
"diagnostics","Versions","Python","3.9.10","3.9.10","3.9.10","3.9.10"
"diagnostics","Configuration","Settings","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}"
"diagnostics","Configuration","EnabledImageTypes","{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}","{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}","{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}","{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}"
"diagnostics","Image-original","Hash","1b29c6b2df61d2138caa5045dbb03d83089545cd","1b29c6b2df61d2138caa5045dbb03d83089545cd","1b29c6b2df61d2138caa5045dbb03d83089545cd","1b29c6b2df61d2138caa5045dbb03d83089545cd"
"diagnostics","Image-original","Dimensionality","3D","3D","3D","3D"
"diagnostics","Image-original","Spacing","(0.507, 0.507, 2.0)","(0.507, 0.507, 2.0)","(0.507, 0.507, 2.0)","(0.507, 0.507, 2.0)"
"diagnostics","Image-original","Size","(512, 512, 145)","(512, 512, 145)","(512, 512, 145)","(512, 512, 145)"
"diagnostics","Image-original","Mean","-821.2447851509884","-821.2447851509884","-821.2447851509884","-821.2447851509884"
"diagnostics","Image-original","Minimum","-2048.0","-2048.0","-2048.0","-2048.0"
"diagnostics","Image-original","Maximum","4957.0","4957.0","4957.0","4957.0"
"diagnostics","Mask-original","Hash","b2552a3b77e25f10a765290c9b8fcf6194173664","39ca7cc1b925a24ebfbf5146c24e6d0ad25f8143","e18eab89cd7c24a25c0f0deb7c8fa0f0d6e4a81a","43f36e13070dfda1e9857976d0b9d3166cfdf3f3"
"diagnostics","Mask-original","Spacing","(0.507, 0.507, 2.0)","(0.507, 0.507, 2.0)","(0.507, 0.507, 2.0)","(0.507, 0.507, 2.0)"
"diagnostics","Mask-original","Size","(512, 512, 145)","(512, 512, 145)","(512, 512, 145)","(512, 512, 145)"
"diagnostics","Mask-original","BoundingBox","(302, 184, 62, 34, 30, 13)","(289, 177, 44, 45, 40, 32)","(300, 183, 45, 31, 27, 30)","(288, 179, 44, 46, 41, 32)"
"diagnostics","Mask-original","VoxelNum","187","742","697","1635"
