Image type,Feature Class,Feature Name,Segmentation_segment_IPH_lipid,Segmentation_segment_Fibrous
diagnostics,Versions,PyRadiomics,v3.0.1.post15+g2791e23,v3.0.1.post15+g2791e23
diagnostics,Versions,Numpy,1.22.1,1.22.1
diagnostics,Versions,SimpleITK,2.2.0rc2.post15,2.2.0rc2.post15
diagnostics,Versions,PyWavelet,1.4.1,1.4.1
diagnostics,Versions,Python,3.9.10,3.9.10
diagnostics,Configuration,Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}"
diagnostics,Configuration,EnabledImageTypes,"{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}","{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}"
diagnostics,Image-original,Hash,4862d0f183736cdf594ca305994e43c3527ae151,4862d0f183736cdf594ca305994e43c3527ae151
diagnostics,Image-original,Dimensionality,3D,3D
diagnostics,Image-original,Spacing,"(0.507, 0.507, 2.0)","(0.507, 0.507, 2.0)"
diagnostics,Image-original,Size,"(512, 512, 163)","(512, 512, 163)"
diagnostics,Image-original,Mean,-760.7039671,-760.7039671
diagnostics,Image-original,Minimum,-4521,-4521
diagnostics,Image-original,Maximum,25455,25455
diagnostics,Mask-original,Hash,fd21a262dfdbf8d1906f8a25ee9dc6f5848ea639,dfc5e2608545fa3233dd78d9cc3d472239c9cc63
diagnostics,Mask-original,Spacing,"(0.507, 0.507, 2.0)","(0.507, 0.507, 2.0)"
diagnostics,Mask-original,Size,"(512, 512, 163)","(512, 512, 163)"
diagnostics,Mask-original,BoundingBox,"(327, 213, 63, 20, 22, 8)","(328, 213, 63, 18, 22, 8)"
diagnostics,Mask-original,VoxelNum,177,342
diagnostics,Mask-original,VolumeNum,12,2
diagnostics,Mask-original,CenterOfMassIndex,"(335.2429378531073, 221.48022598870057, 67.36158192090396)","(336.03216374269005, 222.85380116959064, 67.27777777777777)"
diagnostics,Mask-original,CenterOfMass,"(35.84716949152545, -18.705525423728815, -625.2768361581918)","(36.2473070175439, -18.009122807017548, -625.4444444444442)"
diagnostics,Image-interpolated,Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics,Image-interpolated,Size,"(22, 23, 27)","(21, 23, 27)"
diagnostics,Image-interpolated,Mean,61.40052701,61.18802239
diagnostics,Image-interpolated,Minimum,-681,-125
diagnostics,Image-interpolated,Maximum,560,560
diagnostics,Mask-interpolated,Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics,Mask-interpolated,Size,"(22, 23, 27)","(21, 23, 27)"
diagnostics,Mask-interpolated,BoundingBox,"(6, 6, 6, 10, 11, 16)","(5, 6, 6, 9, 11, 16)"
diagnostics,Mask-interpolated,VoxelNum,88,174
diagnostics,Mask-interpolated,VolumeNum,8,3
diagnostics,Mask-interpolated,CenterOfMassIndex,"(9.568181818181818, 10.022727272727273, 14.681818181818182)","(8.919540229885058, 10.666666666666666, 15.281609195402298)"
diagnostics,Mask-interpolated,CenterOfMass,"(35.693681818181894, -18.72677272727274, -625.8181818181816)","(36.0450402298851, -18.082833333333348, -625.2183908045974)"
diagnostics,Mask-interpolated,Mean,51.22727273,97.96551724
diagnostics,Mask-interpolated,Minimum,0,29
diagnostics,Mask-interpolated,Maximum,91,213
original,shape,Elongation,0.713536795,0.737657291
original,shape,Flatness,0.488274547,0.479497031
original,shape,LeastAxisLength,8.337804561,8.245284527
original,shape,MajorAxisLength,17.07605815,17.19569463
original,shape,Maximum2DDiameterColumn,17.88854382,17
original,shape,Maximum2DDiameterRow,17.4642492,17.08800749
original,shape,Maximum2DDiameterSlice,11.40175425,12.08304597
original,shape,Maximum3DDiameter,18.33030278,18.16590212
original,shape,MeshVolume,45.58333333,104.7916667
original,shape,MinorAxisLength,12.1843958,12.68452952
original,shape,Sphericity,0.280796055,0.253790324
original,shape,SurfaceArea,219.76769,423.5391514
original,shape,SurfaceVolumeRatio,4.821229031,4.0417255
original,shape,VoxelVolume,88,174
original,firstorder,10Percentile,35,63.3
original,firstorder,90Percentile,69.3,146.7
original,firstorder,Energy,248332,1867810
original,firstorder,Entropy,1.308187047,2.343948092
original,firstorder,InterquartileRange,15.25,40.75
original,firstorder,Kurtosis,4.67379938,3.514967337
original,firstorder,Maximum,91,213
original,firstorder,MeanAbsoluteDeviation,10.64876033,26.67142291
original,firstorder,Mean,51.22727273,97.96551724
original,firstorder,Median,52,89.5
original,firstorder,Minimum,0,29
original,firstorder,Range,91,184
original,firstorder,RobustMeanAbsoluteDeviation,7.193017258,18.05755093
original,firstorder,RootMeanSquared,53.12207211,103.6076263
original,firstorder,Skewness,-0.345003123,0.890215675
original,firstorder,TotalEnergy,248332,1867810
original,firstorder,Uniformity,0.44963843,0.238208482
original,firstorder,Variance,197.7210744,1137.297662
original,glcm,Autocorrelation,5.996950272,11.51995213
original,glcm,ClusterProminence,1.370494656,47.38958854
original,glcm,ClusterShade,0.026583984,4.870400495
original,glcm,ClusterTendency,0.617001523,3.668202569
original,glcm,Contrast,0.811693862,3.393615848
original,glcm,Correlation,-0.127565789,0.008115573
original,glcm,DifferenceAverage,0.667793318,1.340427966
original,glcm,DifferenceEntropy,0.8712422,2.060261466
original,glcm,DifferenceVariance,0.257668154,1.494186636
original,glcm,Id,0.686881637,0.568444091
original,glcm,Idm,0.680493395,0.51879998
original,glcm,Idmn,0.955607203,0.95446376
original,glcm,Idn,0.870871721,0.871003891
original,glcm,Imc1,-0.355945849,-0.210366154
original,glcm,Imc2,0.626324107,0.776282504
original,glcm,InverseVariance,0.572150997,0.407986722
original,glcm,JointAverage,2.457847708,3.373361774
original,glcm,JointEnergy,0.293522541,0.078852851
original,glcm,JointEntropy,2.02313574,4.091966354
original,glcm,MCC,0.575647213,0.598609485
original,glcm,MaximumProbability,0.351923077,0.163538918
original,glcm,SumAverage,4.915695416,6.746723549
original,glcm,SumEntropy,1.303025492,2.661907449
original,glcm,SumSquares,0.357173846,1.765454604
original,gldm,DependenceEntropy,3.416502962,4.42614649
original,gldm,DependenceNonUniformity,19.81818182,34.62068966
original,gldm,DependenceNonUniformityNormalized,0.225206612,0.198969481
original,gldm,DependenceVariance,1.923553719,2.435592549
original,gldm,GrayLevelNonUniformity,39.56818182,41.44827586
original,gldm,GrayLevelVariance,0.360408058,1.78375611
original,gldm,HighGrayLevelEmphasis,6.897727273,13.47701149
original,gldm,LargeDependenceEmphasis,10.38636364,11.22988506
original,gldm,LargeDependenceHighGrayLevelEmphasis,62.42045455,106.1436782
original,gldm,LargeDependenceLowGrayLevelEmphasis,2.082307449,1.721310868
original,gldm,LowGrayLevelEmphasis,0.189630682,0.139286602
original,gldm,SmallDependenceEmphasis,0.25353851,0.280580016
original,gldm,SmallDependenceHighGrayLevelEmphasis,2.026575126,5.456061039
original,gldm,SmallDependenceLowGrayLevelEmphasis,0.044021289,0.037646323
original,glrlm,GrayLevelNonUniformity,36.52940009,37.39907928
original,glrlm,GrayLevelNonUniformityNormalized,0.447256085,0.231984895
original,glrlm,GrayLevelVariance,0.367893549,1.840023908
original,glrlm,HighGrayLevelRunEmphasis,6.960229089,13.80289275
original,glrlm,LongRunEmphasis,1.339940129,1.296271064
original,glrlm,LongRunHighGrayLevelEmphasis,9.061652784,16.69606877
original,glrlm,LongRunLowGrayLevelEmphasis,0.255549225,0.181998995
original,glrlm,LowGrayLevelRunEmphasis,0.189167946,0.138562556
original,glrlm,RunEntropy,1.65374413,2.709699054
original,glrlm,RunLengthNonUniformity,72.59333352,140.8602475
original,glrlm,RunLengthNonUniformityNormalized,0.874514168,0.866737668
original,glrlm,RunPercentage,0.926573427,0.924403183
original,glrlm,RunVariance,0.111921953,0.09778932
original,glrlm,ShortRunEmphasis,0.939439434,0.940508728
original,glrlm,ShortRunHighGrayLevelEmphasis,6.579603911,13.20972279
original,glrlm,ShortRunLowGrayLevelEmphasis,0.177372273,0.129741737
original,glszm,GrayLevelNonUniformity,11.55172414,10.87301587
original,glszm,GrayLevelNonUniformityNormalized,0.398335315,0.172587554
original,glszm,GrayLevelVariance,0.489892985,2.616780045
original,glszm,HighGrayLevelZoneEmphasis,7.724137931,18.23809524
original,glszm,LargeAreaEmphasis,19.31034483,18.6031746
original,glszm,LargeAreaHighGrayLevelEmphasis,122.0344828,167.3174603
original,glszm,LargeAreaLowGrayLevelEmphasis,3.690373563,2.977271285
original,glszm,LowGrayLevelZoneEmphasis,0.184626437,0.136120492
original,glszm,SizeZoneNonUniformity,8.034482759,18.3015873
original,glszm,SizeZoneNonUniformityNormalized,0.27705113,0.290501386
original,glszm,SmallAreaEmphasis,0.477725005,0.539755165
original,glszm,SmallAreaHighGrayLevelEmphasis,4.12849913,12.21424269
original,glszm,SmallAreaLowGrayLevelEmphasis,0.078664609,0.071398545
original,glszm,ZoneEntropy,3.374548236,4.467857956
original,glszm,ZonePercentage,0.329545455,0.362068966
original,glszm,ZoneVariance,10.10225922,10.97505669
original,ngtdm,Busyness,1.764146868,1.226082192
original,ngtdm,Coarseness,0.053868756,0.032957605
original,ngtdm,Complexity,3.168050699,25.05674462
original,ngtdm,Contrast,0.030534572,0.061732574
original,ngtdm,Strength,0.288578783,0.778230983
log-sigma-1-0-mm-3D,firstorder,10Percentile,21.75322266,-7.858128166
log-sigma-1-0-mm-3D,firstorder,90Percentile,50.73525047,43.49141541
log-sigma-1-0-mm-3D,firstorder,Energy,133765.2651,141910.6929
log-sigma-1-0-mm-3D,firstorder,Entropy,1.116710435,1.707517801
log-sigma-1-0-mm-3D,firstorder,InterquartileRange,17.62671185,31.98500466
log-sigma-1-0-mm-3D,firstorder,Kurtosis,2.149555763,2.529369454
log-sigma-1-0-mm-3D,firstorder,Maximum,59.44905853,53.67059708
log-sigma-1-0-mm-3D,firstorder,MeanAbsoluteDeviation,8.917044702,17.47819114
log-sigma-1-0-mm-3D,firstorder,Mean,37.45426861,19.77941328
log-sigma-1-0-mm-3D,firstorder,Median,38.37197685,24.77490711
log-sigma-1-0-mm-3D,firstorder,Minimum,15.58482361,-34.37523651
log-sigma-1-0-mm-3D,firstorder,Range,43.86423492,88.04583359
log-sigma-1-0-mm-3D,firstorder,RobustMeanAbsoluteDeviation,6.602045861,13.17505352
log-sigma-1-0-mm-3D,firstorder,RootMeanSquared,38.98794469,28.55833844
log-sigma-1-0-mm-3D,firstorder,Skewness,-0.182832995,-0.591650363
log-sigma-1-0-mm-3D,firstorder,TotalEnergy,133765.2651,141910.6929
log-sigma-1-0-mm-3D,firstorder,Uniformity,0.566373967,0.356982428
log-sigma-1-0-mm-3D,firstorder,Variance,117.2375943,424.353505
log-sigma-1-0-mm-3D,glcm,Autocorrelation,3.38003108,11.43947229
log-sigma-1-0-mm-3D,glcm,ClusterProminence,0.441206573,11.84104261
log-sigma-1-0-mm-3D,glcm,ClusterShade,0.007213929,-1.378294078
log-sigma-1-0-mm-3D,glcm,ClusterTendency,0.296483934,2.054210778
log-sigma-1-0-mm-3D,glcm,Contrast,0.300738151,0.774681155
log-sigma-1-0-mm-3D,glcm,Correlation,0.050890703,0.391425708
log-sigma-1-0-mm-3D,glcm,DifferenceAverage,0.300738151,0.571925839
log-sigma-1-0-mm-3D,glcm,DifferenceEntropy,0.728676919,1.261830083
log-sigma-1-0-mm-3D,glcm,DifferenceVariance,0.168591725,0.431095194
log-sigma-1-0-mm-3D,glcm,Id,0.849630925,0.746066812
