Image type,Feature Class,Feature Name,Segmentation_segment_IPH_lipid,Segmentation_segment_Fibrous,Segmentation_segment_Calcium,Segmentation_segment_IPH
diagnostics,Versions,PyRadiomics,v3.0.1.post15+g2791e23,v3.0.1.post15+g2791e23,v3.0.1.post15+g2791e23,v3.0.1.post15+g2791e23
diagnostics,Versions,Numpy,1.22.1,1.22.1,1.22.1,1.22.1
diagnostics,Versions,SimpleITK,2.2.0rc2.post15,2.2.0rc2.post15,2.2.0rc2.post15,2.2.0rc2.post15
diagnostics,Versions,PyWavelet,1.4.1,1.4.1,1.4.1,1.4.1
diagnostics,Versions,Python,3.9.10,3.9.10,3.9.10,3.9.10
diagnostics,Configuration,Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}"
diagnostics,Configuration,EnabledImageTypes,"{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}","{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}","{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}","{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}"
diagnostics,Image-original,Hash,4862d0f183736cdf594ca305994e43c3527ae151,4862d0f183736cdf594ca305994e43c3527ae151,4862d0f183736cdf594ca305994e43c3527ae151,4862d0f183736cdf594ca305994e43c3527ae151
diagnostics,Image-original,Dimensionality,3D,3D,3D,3D
diagnostics,Image-original,Spacing,"(0.507, 0.507, 2.0)","(0.507, 0.507, 2.0)","(0.507, 0.507, 2.0)","(0.507, 0.507, 2.0)"
diagnostics,Image-original,Size,"(512, 512, 163)","(512, 512, 163)","(512, 512, 163)","(512, 512, 163)"
diagnostics,Image-original,Mean,-760.7039671,-760.7039671,-760.7039671,-760.7039671
diagnostics,Image-original,Minimum,-4521,-4521,-4521,-4521
diagnostics,Image-original,Maximum,25455,25455,25455,25455
diagnostics,Mask-original,Hash,18aa3f13f2e59892396242b17b6b69a3163895a6,f514899a7bc7c4503f7ab6b161ee7f3b10127b4a,2e0e7c2d7f61f01c068b751513dc205a326be122,1ae1f982fdbe0f07056d009a507c8b05471db616
diagnostics,Mask-original,Spacing,"(0.507, 0.507, 2.0)","(0.507, 0.507, 2.0)","(0.507, 0.507, 2.0)","(0.507, 0.507, 2.0)"
diagnostics,Mask-original,Size,"(512, 512, 163)","(512, 512, 163)","(512, 512, 163)","(512, 512, 163)"
diagnostics,Mask-original,BoundingBox,"(192, 226, 38, 42, 21, 39)","(192, 226, 36, 47, 20, 41)","(191, 227, 68, 20, 19, 7)","(192, 231, 67, 12, 13, 9)"
diagnostics,Mask-original,VoxelNum,492,636,539,23
diagnostics,Mask-original,VolumeNum,6,8,2,6
