Image type,Feature Class,Feature Name,Segmentation_segment_IPH_lipid,Segmentation_segment_Fibrous,Segmentation_segment_Calcium,Segmentation_segment_IPH
diagnostics,Versions,PyRadiomics,v3.0.1.post15+g2791e23,v3.0.1.post15+g2791e23,v3.0.1.post15+g2791e23,v3.0.1.post15+g2791e23
diagnostics,Versions,Numpy,1.22.1,1.22.1,1.22.1,1.22.1
diagnostics,Versions,SimpleITK,2.2.0rc2.post15,2.2.0rc2.post15,2.2.0rc2.post15,2.2.0rc2.post15
diagnostics,Versions,PyWavelet,1.4.1,1.4.1,1.4.1,1.4.1
diagnostics,Versions,Python,3.9.10,3.9.10,3.9.10,3.9.10
diagnostics,Configuration,Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}"
diagnostics,Configuration,EnabledImageTypes,"{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}","{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}","{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}","{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}"
diagnostics,Image-original,Hash,4e438de39b258186a101f459dc7dd0d46c9a5b0b,4e438de39b258186a101f459dc7dd0d46c9a5b0b,4e438de39b258186a101f459dc7dd0d46c9a5b0b,4e438de39b258186a101f459dc7dd0d46c9a5b0b
diagnostics,Image-original,Dimensionality,3D,3D,3D,3D
diagnostics,Image-original,Spacing,"(0.506, 0.506, 2.0)","(0.506, 0.506, 2.0)","(0.506, 0.506, 2.0)","(0.506, 0.506, 2.0)"
diagnostics,Image-original,Size,"(512, 512, 195)","(512, 512, 195)","(512, 512, 195)","(512, 512, 195)"
diagnostics,Image-original,Mean,-762.6084494,-762.6084494,-762.6084494,-762.6084494
diagnostics,Image-original,Minimum,-2228,-2228,-2228,-2228
diagnostics,Image-original,Maximum,29360,29360,29360,29360
diagnostics,Mask-original,Hash,1a926d1b928afd7d3061475e41fcf2e140fbec4b,536d7365cbf10f487587de78bcdc25a76067897d,4e045a8c1af30039526e9abfdc79902230afb72c,254a2e1588bf9075a420e8802120317049960292
diagnostics,Mask-original,Spacing,"(0.506, 0.506, 2.0)","(0.506, 0.506, 2.0)","(0.506, 0.506, 2.0)","(0.506, 0.506, 2.0)"
diagnostics,Mask-original,Size,"(512, 512, 195)","(512, 512, 195)","(512, 512, 195)","(512, 512, 195)"
diagnostics,Mask-original,BoundingBox,"(308, 231, 88, 23, 24, 20)","(306, 229, 88, 24, 24, 20)","(311, 234, 95, 18, 19, 10)","(319, 249, 96, 10, 3, 4)"
diagnostics,Mask-original,VoxelNum,515,484,239,13
diagnostics,Mask-original,VolumeNum,6,5,2,2
