Image type,Feature Class,Feature Name,Segmentation_segment_IPH_lipid,Segmentation_segment_Fibrous,Segmentation_segment_Calcium,Segmentation_segment_Calcium
diagnostics,Versions,PyRadiomics,v3.0.1.post15+g2791e23,v3.0.1.post15+g2791e23,v3.0.1.post15+g2791e23,
diagnostics,Versions,Numpy,1.22.1,1.22.1,1.22.1,
diagnostics,Versions,SimpleITK,2.2.0rc2.post15,2.2.0rc2.post15,2.2.0rc2.post15,
diagnostics,Versions,PyWavelet,1.4.1,1.4.1,1.4.1,
diagnostics,Versions,Python,3.9.10,3.9.10,3.9.10,
diagnostics,Configuration,Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}",
diagnostics,Configuration,EnabledImageTypes,"{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}","{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}","{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}",
diagnostics,Image-original,Hash,513b407ae00defbe4598e2672e874cd0e2f64026,513b407ae00defbe4598e2672e874cd0e2f64026,513b407ae00defbe4598e2672e874cd0e2f64026,
diagnostics,Image-original,Dimensionality,3D,3D,3D,
diagnostics,Image-original,Spacing,"(0.473, 0.473, 2.0)","(0.473, 0.473, 2.0)","(0.473, 0.473, 2.0)",
diagnostics,Image-original,Size,"(512, 512, 166)","(512, 512, 166)","(512, 512, 166)",
diagnostics,Image-original,Mean,-860.9791666,-860.9791666,-860.9791666,
diagnostics,Image-original,Minimum,-2048,-2048,-2048,
diagnostics,Image-original,Maximum,15374,15374,15374,
diagnostics,Mask-original,Hash,83c3c938dfa2408bbece493bda33c9bb377c5aa0,03d6996f6673d162c8c99166f5a488b1cae6bd6f,d20002319701c86a6a1c88f1c2f4230cf2175332,
diagnostics,Mask-original,Spacing,"(0.473, 0.473, 2.0)","(0.473, 0.473, 2.0)","(0.473, 0.473, 2.0)",
